
"Custom Design To", "Custom Design Lai"
"Custom Layout", "Custom izkārtojums"
"Custom Layout Update XML", "Custom izkārtojums Update XML"
"Custom Theme", "Custom Tēma"
"Customer Tax Class Information", "Klientu Nodokļu klases informācija"
"Date Created", "Datums Izveidots"
"Delete Block", "Dzēst Block"
"Delete File", "Dzēst File"
"Delete Folder", "Dzēst Folder"
"Delete Page", "Dzēst lapu"
"Description", "Apraksts"
"Design", "Dizains"
"Disabled", "Disabled"
"Disabled Completely", "Disabled Pilnīgi"
"Disabled by Default", "Deaktivizēta"
"Edit Block", "Labot bloks"
"Edit Block '%s'", "Edit Block '% s'"
"Edit Page", "Rediģēt lappusi"
"Edit Page '%s'", "Labot lapas '% s'"
"Enable WYSIWYG Editor", "Aktivizēt WYSIWYG redaktors"
"Enabled", "Enabled"
"Enabled by Default", "Iespējota pēc noklusējuma"
"Expand All", "Izvērst visu"
"General Information", "Vispārīga informācija"
"Go to Home Page", "Iet uz mājas lapu"
"Home", "Mājas"
"ID", "ID"
"Identifier", "Identifikators"
"If empty, "Ja tukša
"Images (%s)", "Attēli (% s)"
"Insert File", "Ievietot failu"
"Invalid folder name. Please, "Nepareiza mapes nosaukums. Lūdzu
"Keywords", "Atslēgas vārdi"
"Last Modified", "Pēdējo izmaiņu"
"Layout", "Izkārtojums"
"Layout Update XML", "Izkārtojums Update XML"
"Link to a CMS Page", "Saite uz CMS Page"
"Manage Pages", "Pārvaldīt lapas"
"Media Gallery", "Mediju galerija"
"Media Storage", "Atmiņa"
"Meta Data", "Meta dati"
"Meta Description", "Meta apraksts"
"Meta Keywords", "Meta Keywords"
"New Block", "Jaunā bloks"
"New Folder Name:", "Jauna mape Nosaukums:"
"New Page", "Jauna lapa"
"No files found", "Nav failu atrasts"
"Page Information", "Lapa informācija"
"Page Layout", "Lappuses izkārtojums"
"Page Status", "Lapa statuss"
"Page Title", "Dokumenta virsraksts"
"Pages", "Pages"
"Product Tax Class Information", "Produktu Nodokļu klases informācija"
"Redirect to CMS-page if Cookies are Disabled", "Novirzīt uz CMS-lapu, ja sīkdatnes ir invalīdi"
"Relative to Website Base URL", "Salīdzinot ar lietošanas Base URL"
"Save Block", "Save Block"
"Save Page", "Saglabāt lapu"
"Save Process", "Save process"
"Select Block...", "Izvēlēties Block ..."
"Select Page...", "Izvēlēties lapu ..."
"Show Breadcrumbs for CMS Pages", "Parādīt Rīvmaize CMS Pages"
"Show Notice if JavaScript is Disabled", "Parādīt paziņojumu, ja JavaScript ir atslēgts"
"Static Blocks", "Static bloki"
"Status", "Statuss"
"Storage Root", "Uzglabāšanas Saknes"
"Store View", "Veikals View"
"Template", "Veidne"
"The block has been deleted.", "Bloks ir dzēsts."
"The block has been saved.", "Bloks ir saglabāts."
"The directory %s is not writable by server.", "Direktorija% s nav rakstāms ar serveri."
"The page URL key cannot consist only of numbers.", "Lapas URL atslēgu nevar sastāvēt tikai no cipariem."
"The page URL key contains capital letters or disallowed symbols.", "Lapas URL galvenais ir lielie burti vai aizliedzis simbolus."
"The page has been deleted.", "Lapa ir dzēsta."
"The page has been saved.", "Lapa ir saglabāta."
"The static block content cannot contain directive with its self.", "Statiskā satura bloki nevar saturēt direktīva ar sevis."
"This block no longer exists.", "Šis bloks vairs nepastāv."
"This page no longer exists.", "Šī lapa vairs nepastāv."
"Title", "Nosaukums"
"URL Key", "URL atslēga"
"Unable to find a block to delete.", "Nevar atrast bloku dzēst."
"Unable to find a page to delete.", "Nevar atrast lapu dzēst."
"WYSIWYG Options", "WYSIWYG opcijas"
"px.", "Px".
